Project ID,Milestone,Schedule Category,Dates
25EASIDDI06,T&C / Energisation,Baseline,17/01/2029
25EASIDDI06,T&C / Energisation,Capex,17/01/2029
25EASIDDI06,Project Completion,Baseline,17/01/2030
25EASIDDI06,Project Completion,Capex,17/01/2030
24ESGMDDI04,Business Case Approval,Baseline,30/10/2023
24ESGMDDI04,Business Case Approval,Capex,30/10/2023
24ESGMDDI04,CR approval (Consultant),Baseline,30/11/2023
24ESGMDDI04,CR approval (Consultant),Capex,30/11/2023
24ESGMDDI04,Letter of Award (Consultant),Baseline,30/03/2024
24ESGMDDI04,Letter of Award (Consultant),Capex,30/03/2024
24ESGMDDI04,Detail Design Approval,Baseline,30/10/2024
24ESGMDDI04,Detail Design Approval,Capex,30/10/2024
24ESGMDDI04,CR approval (Contractor),Baseline,30/11/2024
24ESGMDDI04,CR approval (Contractor),Capex,30/11/2024
24ESGMDDI04,Completion of Technical evaluation (Contractor),Baseline,28/02/2025
24ESGMDDI04,Completion of Technical evaluation (Contractor),Capex,28/02/2025
24ESGMDDI04,Letter of Award (Contractor),Baseline,27/03/2025
24ESGMDDI04,Letter of Award (Contractor),Capex,27/03/2025
24ESGMDDI04,Site Handing Over,Baseline,11/05/2025
24ESGMDDI04,Site Handing Over,Capex,11/05/2025
24ESGMDDI04,T&C / Energisation,Baseline,11/01/2027
24ESGMDDI04,T&C / Energisation,Capex,11/01/2027
24ESGMDDI04,Project Completion,Baseline,11/01/2029
24ESGMDDI04,Project Completion,Capex,11/01/2029
24EAPDNI01,Business Case Approval,Baseline,15/01/2024
24EAPDNI01,Business Case Approval,Capex,15/01/2024
24EAPDNI01,CR approval (Consultant),Baseline,14/02/2024
24EAPDNI01,CR approval (Consultant),Capex,14/02/2024
24EAPDNI01,Letter of Award (Consultant),Baseline,13/07/2024
24EAPDNI01,Letter of Award (Consultant),Capex,13/07/2024
24EAPDNI01,Detail Design Approval,Baseline,13/07/2024
24EAPDNI01,Detail Design Approval,Capex,13/07/2024
24EAPDNI01,CR approval (Contractor),Baseline,15/03/2024
24EAPDNI01,CR approval (Contractor),Capex,15/03/2024
24EAPDNI01,Completion of Technical evaluation (Contractor),Baseline,12/08/2024
24EAPDNI01,Completion of Technical evaluation (Contractor),Capex,12/08/2024
24EAPDNI01,Letter of Award (Contractor),Baseline,12/09/2024
24EAPDNI01,Letter of Award (Contractor),Capex,12/09/2024
24EAPDNI01,Site Handing Over,Baseline,11/10/2024
24EAPDNI01,Site Handing Over,Capex,11/10/2024
24EAPDNI01,T&C / Energisation,Baseline,11/09/2026
24EAPDNI01,T&C / Energisation,Capex,11/09/2026
24EAPDNI01,Project Completion,Baseline,10/09/2027
24EAPDNI01,Project Completion,Capex,10/09/2027
24ESGMDNI02,Business Case Approval,Baseline,30/10/2023
24ESGMDNI02,Business Case Approval,Capex,30/10/2023
24ESGMDNI02,CR approval (Consultant),Baseline,30/11/2023
24ESGMDNI02,CR approval (Consultant),Capex,30/11/2023
24ESGMDNI02,Letter of Award (Consultant),Baseline,27/02/2024
24ESGMDNI02,Letter of Award (Consultant),Capex,27/02/2024
24ESGMDNI02,Detail Design Approval,Baseline,23/09/2024
24ESGMDNI02,Detail Design Approval,Capex,23/09/2024
24ESGMDNI02,CR approval (Contractor),Baseline,23/10/2024
24ESGMDNI02,CR approval (Contractor),Capex,23/10/2024
24ESGMDNI02,Completion of Technical evaluation (Contractor),Baseline,22/01/2025
24ESGMDNI02,Completion of Technical evaluation (Contractor),Capex,22/01/2025
24ESGMDNI02,Letter of Award (Contractor),Baseline,21/02/2025
24ESGMDNI02,Letter of Award (Contractor),Capex,21/02/2025
24ESGMDNI02,Site Handing Over,Baseline,21/03/2025
24ESGMDNI02,Site Handing Over,Capex,21/03/2025
24ESGMDNI02,T&C / Energisation,Baseline,21/05/2028
24ESGMDNI02,T&C / Energisation,Capex,21/05/2028
24ESGMDNI02,Project Completion,Baseline,21/05/2029
24ESGMDNI02,Project Completion,Capex,21/05/2029
24ESGMDDI02,Business Case Approval,Baseline,15/12/2023
24ESGMDDI02,Business Case Approval,Capex,15/12/2023
24ESGMDDI02,CR approval (Consultant),Baseline,15/01/2024
24ESGMDDI02,CR approval (Consultant),Capex,15/01/2024
24ESGMDDI02,Letter of Award (Consultant),Baseline,15/05/2024
24ESGMDDI02,Letter of Award (Consultant),Capex,15/05/2024
24ESGMDDI02,Detail Design Approval,Baseline,15/09/2024
24ESGMDDI02,Detail Design Approval,Capex,15/09/2024
24ESGMDDI02,CR approval (Contractor),Baseline,15/10/2024
24ESGMDDI02,CR approval (Contractor),Capex,15/10/2024
24ESGMDDI02,Completion of Technical evaluation (Contractor),Baseline,15/03/2025
24ESGMDDI02,Completion of Technical evaluation (Contractor),Capex,15/03/2025
24ESGMDDI02,Letter of Award (Contractor),Baseline,14/04/2025
24ESGMDDI02,Letter of Award (Contractor),Capex,14/04/2025
24ESGMDDI02,Site Handing Over,Baseline,14/07/2025
24ESGMDDI02,Site Handing Over,Capex,14/07/2025
24ESGMDDI02,T&C / Energisation,Baseline,14/02/2027
24ESGMDDI02,T&C / Energisation,Capex,14/02/2027
24ESGMDDI02,Project Completion,Baseline,14/02/2028
24ESGMDDI02,Project Completion,Capex,14/02/2028
24ESGMDDI05,Business Case Approval,Baseline,30/11/2023
24ESGMDDI05,Business Case Approval,Capex,30/11/2023
24ESGMDDI05,CR approval (Consultant),Baseline,30/12/2023
24ESGMDDI05,CR approval (Consultant),Capex,30/12/2023
24ESGMDDI05,Letter of Award (Consultant),Baseline,28/04/2024
24ESGMDDI05,Letter of Award (Consultant),Capex,28/04/2024
24ESGMDDI05,Detail Design Approval,Baseline,24/12/2024
24ESGMDDI05,Detail Design Approval,Capex,24/12/2024
24ESGMDDI05,CR approval (Contractor),Baseline,24/01/2025
24ESGMDDI05,CR approval (Contractor),Capex,24/01/2025
24ESGMDDI05,Completion of Technical evaluation (Contractor),Baseline,23/05/2025
24ESGMDDI05,Completion of Technical evaluation (Contractor),Capex,23/05/2025
24ESGMDDI05,Letter of Award (Contractor),Baseline,22/06/2025
24ESGMDDI05,Letter of Award (Contractor),Capex,22/06/2025
24ESGMDDI05,Site Handing Over,Baseline,22/07/2025
24ESGMDDI05,Site Handing Over,Capex,22/07/2025
24ESGMDDI05,T&C / Energisation,Baseline,22/05/2027
24ESGMDDI05,T&C / Energisation,Capex,22/05/2027
24ESGMDDI05,Project Completion,Baseline,22/05/2028
24ESGMDDI05,Project Completion,Capex,22/05/2028
24EASIDDI03,Business Case Approval,Baseline,17/10/2024
24EASIDDI03,Business Case Approval,Capex,17/10/2024
24EASIDDI03,CR approval (Consultant),Baseline,17/12/2024
24EASIDDI03,CR approval (Consultant),Capex,17/12/2024
24EASIDDI03,Letter of Award (Consultant),Baseline,17/05/2025
24EASIDDI03,Letter of Award (Consultant),Capex,17/05/2025
24EASIDDI03,Detail Design Approval,Baseline,17/02/2026
24EASIDDI03,Detail Design Approval,Capex,17/02/2026
24EASIDDI03,CR approval (Contractor),Baseline,17/03/2026
24EASIDDI03,CR approval (Contractor),Capex,17/03/2026
24EASIDDI03,Completion of Technical evaluation (Contractor),Baseline,17/09/2026
24EASIDDI03,Completion of Technical evaluation (Contractor),Capex,17/09/2026
24EASIDDI03,Letter of Award (Contractor),Baseline,17/10/2026
24EASIDDI03,Letter of Award (Contractor),Capex,17/10/2026
24EASIDDI03,Site Handing Over,Baseline,17/02/2027
24EASIDDI03,Site Handing Over,Capex,17/02/2027
24EASIDDI03,T&C / Energisation,Baseline,17/01/2029
24EASIDDI03,T&C / Energisation,Capex,17/01/2029
24EASIDDI03,Project Completion,Baseline,17/01/2030
24EASIDDI03,Project Completion,Capex,17/01/2030
24EASIDDI01,Business Case Approval,Baseline,15/02/2024
24EASIDDI01,Business Case Approval,Capex,15/02/2024
24EASIDDI01,CR approval (Consultant),Baseline,15/03/2024
24EASIDDI01,CR approval (Consultant),Capex,15/03/2024
24EASIDDI01,Letter of Award (Consultant),Baseline,15/08/2024
24EASIDDI01,Letter of Award (Consultant),Capex,15/08/2024
24EASIDDI01,Detail Design Approval,Baseline,14/12/2024
24EASIDDI01,Detail Design Approval,Capex,14/12/2024
24EASIDDI01,CR approval (Contractor),Baseline,14/01/2025
24EASIDDI01,CR approval (Contractor),Capex,14/01/2025
24EASIDDI01,Completion of Technical evaluation (Contractor),Baseline,14/04/2025
24EASIDDI01,Completion of Technical evaluation (Contractor),Capex,14/04/2025
24EASIDDI01,Letter of Award (Contractor),Baseline,14/05/2025
24EASIDDI01,Letter of Award (Contractor),Capex,14/05/2025
24EASIDDI01,Site Handing Over,Baseline,13/06/2025
24EASIDDI01,Site Handing Over,Capex,13/06/2025
24EASIDDI01,T&C / Energisation,Baseline,12/04/2027
24EASIDDI01,T&C / Energisation,Capex,12/04/2027
24EASIDDI01,Project Completion,Baseline,11/04/2028
24EASIDDI01,Project Completion,Capex,11/04/2028
24EASIDDI02,Business Need,Baseline,21/02/2022
24EASIDDI02,Business Need,Capex,21/02/2022
24EASIDDI02,Business Need,Actual,21/02/2022
24EASIDDI02,Business Case Approval,Baseline,15/11/2023
24EASIDDI02,Business Case Approval,Capex,15/11/2023
24EASIDDI02,CR approval (Consultant),Baseline,15/02/2024
24EASIDDI02,CR approval (Consultant),Capex,15/02/2024
24EASIDDI02,Letter of Award (Consultant),Baseline,14/06/2024
24EASIDDI02,Letter of Award (Consultant),Capex,14/06/2024
24EASIDDI02,Detail Design Approval,Baseline,13/12/2024
24EASIDDI02,Detail Design Approval,Capex,13/12/2024
24EASIDDI02,CR approval (Contractor),Baseline,13/01/2025
24EASIDDI02,CR approval (Contractor),Capex,13/01/2025
24EASIDDI02,Completion of Technical evaluation (Contractor),Baseline,13/04/2025
24EASIDDI02,Completion of Technical evaluation (Contractor),Capex,13/04/2025
24EASIDDI02,Letter of Award (Contractor),Baseline,13/06/2025
24EASIDDI02,Letter of Award (Contractor),Capex,13/06/2025
24EASIDDI02,Site Handing Over,Baseline,01/09/2025
24EASIDDI02,Site Handing Over,Capex,01/09/2025
24EASIDDI02,T&C / Energisation,Baseline,31/08/2027
24EASIDDI02,T&C / Energisation,Capex,31/08/2027
24EASIDDI02,Project Completion,Baseline,31/08/2028
24EASIDDI02,Project Completion,Capex,31/08/2028
24EASIDDI04,Business Need,Baseline,23/03/2022
24EASIDDI04,Business Need,Capex,23/03/2022
24EASIDDI04,Business Need,Actual,23/03/2022
24EASIDDI04,Business Case Approval,Baseline,15/12/2023
24EASIDDI04,Business Case Approval,Capex,15/12/2023
24EASIDDI04,CR approval (Consultant),Baseline,15/02/2024
24EASIDDI04,CR approval (Consultant),Capex,15/02/2024
24EASIDDI04,Letter of Award (Consultant),Baseline,14/04/2024
24EASIDDI04,Letter of Award (Consultant),Capex,14/04/2024
24EASIDDI04,Detail Design Approval,Baseline,15/11/2024
24EASIDDI04,Detail Design Approval,Capex,15/11/2024
24EASIDDI04,CR approval (Contractor),Baseline,13/01/2025
24EASIDDI04,CR approval (Contractor),Capex,13/01/2025
24EASIDDI04,Completion of Technical evaluation (Contractor),Baseline,15/03/2025
24EASIDDI04,Completion of Technical evaluation (Contractor),Capex,15/03/2025
24EASIDDI04,Letter of Award (Contractor),Baseline,15/04/2025
24EASIDDI04,Letter of Award (Contractor),Capex,15/04/2025
24EASIDDI04,Site Handing Over,Baseline,01/05/2025
24EASIDDI04,Site Handing Over,Capex,01/05/2025
24EASIDDI04,T&C / Energisation,Baseline,15/10/2027
24EASIDDI04,T&C / Energisation,Capex,15/10/2027
24EASIDDI04,Project Completion,Baseline,15/10/2028
24EASIDDI04,Project Completion,Capex,15/10/2028
24EASIDDI05,Business Case Approval,Baseline,26/02/2023
24EASIDDI05,Business Case Approval,Capex,26/02/2023
24EASIDDI05,Business Case Approval,Actual,26/02/2023
24EASIDDI05,CR approval (Consultant),Baseline,30/05/2023
24EASIDDI05,CR approval (Consultant),Capex,26/05/2023
24EASIDDI05,CR approval (Consultant),Actual,26/05/2023
24EASIDDI05,Letter of Award (Consultant),Baseline,10/08/2023
24EASIDDI05,Letter of Award (Consultant),Capex,15/11/2023
24EASIDDI05,Detail Design Approval,Baseline,06/05/2024
24EASIDDI05,Detail Design Approval,Capex,23/07/2024
24EASIDDI05,CR approval (Contractor),Baseline,06/06/2024
24EASIDDI05,CR approval (Contractor),Capex,23/08/2024
24EASIDDI05,Completion of Technical evaluation (Contractor),Baseline,02/10/2024
24EASIDDI05,Completion of Technical evaluation (Contractor),Capex,19/12/2024
24EASIDDI05,Letter of Award (Contractor),Baseline,02/11/2024
24EASIDDI05,Letter of Award (Contractor),Capex,19/01/2025
24EASIDDI05,Site Handing Over,Baseline,02/12/2024
24EASIDDI05,Site Handing Over,Capex,19/02/2025
24EASIDDI05,T&C / Energisation,Baseline,01/02/2027
24EASIDDI05,T&C / Energisation,Capex,18/04/2027
24EASIDDI05,Project Completion,Baseline,31/01/2029
24EASIDDI05,Project Completion,Capex,17/04/2029
23CEAPSNI01,Business Need,Baseline,01/07/2023
23CEAPSNI01,Business Need,Capex,01/07/2023
23CEAPSNI01,Business Need,Actual,01/07/2023
23CEAPSNI01,Business Case Approval,Baseline,01/05/2023
23CEAPSNI01,Business Case Approval,Capex,01/05/2023
23CEAPSNI01,Business Case Approval,Actual,01/05/2023
23CEAPSNI01,CR approval (Consultant),Baseline,27/06/2023
23CEAPSNI01,CR approval (Consultant),Capex,27/06/2023
23CEAPSNI01,CR approval (Consultant),Actual,27/06/2023
23CEAPSNI01,Letter of Award (Consultant),Baseline,01/01/2024
23CEAPSNI01,Letter of Award (Consultant),Capex,01/01/2024
23CEAPSNI01,Detail Design Approval,Baseline,29/06/2024
23CEAPSNI01,Detail Design Approval,Capex,29/06/2024
23CEAPSNI01,CR approval (Contractor),Baseline,15/07/2024
23CEAPSNI01,CR approval (Contractor),Capex,15/07/2024
23CEAPSNI01,Completion of Technical evaluation (Contractor),Baseline,01/12/2024
23CEAPSNI01,Completion of Technical evaluation (Contractor),Capex,01/12/2024
23CEAPSNI01,Letter of Award (Contractor),Baseline,15/12/2024
23CEAPSNI01,Letter of Award (Contractor),Capex,15/12/2024
23CEAPSNI01,Site Handing Over,Baseline,01/01/2025
23CEAPSNI01,Site Handing Over,Capex,01/01/2025
23CEAPSNI01,T&C / Energisation,Baseline,01/01/2027
23CEAPSNI01,T&C / Energisation,Capex,01/01/2027
23CEAPSNI01,Project Completion,Baseline,31/12/2027
23CEAPSNI01,Project Completion,Capex,31/12/2027
22EASIDDI13,Business Case Approval,Baseline,31/03/2023
22EASIDDI13,Business Case Approval,Capex,08/02/2023
22EASIDDI13,Business Case Approval,Actual,08/02/2023
22EASIDDI13,CR approval (Consultant),Baseline,01/05/2023
22EASIDDI13,CR approval (Consultant),Capex,06/04/2023
22EASIDDI13,CR approval (Consultant),Actual,06/04/2023
22EASIDDI13,Letter of Award (Consultant),Baseline,30/09/2023
22EASIDDI13,Letter of Award (Consultant),Capex,30/11/2023
22EASIDDI13,Detail Design Approval,Baseline,30/03/2024
22EASIDDI13,Detail Design Approval,Capex,30/09/2024
22EASIDDI13,CR approval (Contractor),Baseline,15/04/2024
22EASIDDI13,CR approval (Contractor),Capex,15/10/2024
22EASIDDI13,Completion of Technical evaluation (Contractor),Baseline,15/08/2024
22EASIDDI13,Completion of Technical evaluation (Contractor),Capex,31/01/2025
22EASIDDI13,Letter of Award (Contractor),Baseline,30/09/2024
22EASIDDI13,Letter of Award (Contractor),Capex,15/02/2025
22EASIDDI13,Site Handing Over,Baseline,15/10/2023
22EASIDDI13,Site Handing Over,Capex,15/01/2024
22EASIDDI13,T&C / Energisation,Baseline,30/09/2027
22EASIDDI13,T&C / Energisation,Capex,15/02/2028
22EASIDDI13,Project Completion,Baseline,30/09/2028
22EASIDDI13,Project Completion,Capex,15/02/2029
23CWAPSNI01,Business Need,Baseline,05/08/2022
23CWAPSNI01,Business Need,Capex,05/08/2022
23CWAPSNI01,Business Need,Actual,05/08/2022
23CWAPSNI01,Business Case Approval,Baseline,06/04/2023
23CWAPSNI01,Business Case Approval,Capex,06/04/2023
23CWAPSNI01,Business Case Approval,Actual,06/04/2023
23CWAPSNI01,CR approval (Consultant),Baseline,01/05/2023
23CWAPSNI01,CR approval (Consultant),Capex,01/05/2023
23CWAPSNI01,CR approval (Consultant),Actual,01/05/2023
23CWAPSNI01,Letter of Award (Consultant),Baseline,01/08/2023
23CWAPSNI01,Letter of Award (Consultant),Capex,01/11/2023
23CWAPSNI01,Detail Design Approval,Baseline,01/03/2024
23CWAPSNI01,Detail Design Approval,Capex,01/06/2024
23CWAPSNI01,CR approval (Contractor),Baseline,15/03/2024
23CWAPSNI01,CR approval (Contractor),Capex,15/06/2024
23CWAPSNI01,Completion of Technical evaluation (Contractor),Baseline,01/07/2024
23CWAPSNI01,Completion of Technical evaluation (Contractor),Capex,01/10/2024
23CWAPSNI01,Letter of Award (Contractor),Baseline,01/08/2024
23CWAPSNI01,Letter of Award (Contractor),Capex,01/11/2024
23CWAPSNI01,Site Handing Over,Baseline,01/09/2024
23CWAPSNI01,Site Handing Over,Capex,01/12/2024
23CWAPSNI01,T&C / Energisation,Baseline,01/03/2027
23CWAPSNI01,T&C / Energisation,Capex,01/06/2027
23CWAPSNI01,Project Completion,Baseline,01/03/2028
23CWAPSNI01,Project Completion,Capex,01/06/2028
23EAPD002,Business Need,Baseline,21/07/2022
23EAPD002,Business Need,Capex,21/07/2022
23EAPD002,Business Need,Actual,21/07/2022
23EAPD002,Business Case Approval,Baseline,17/02/2023
23EAPD002,Business Case Approval,Capex,20/02/2023
23EAPD002,Business Case Approval,Actual,20/02/2023
23EAPD002,CR approval (Consultant),Baseline,19/03/2023
23EAPD002,CR approval (Consultant),Capex,12/04/2023
23EAPD002,CR approval (Consultant),Actual,12/04/2023
23EAPD002,Letter of Award (Consultant),Baseline,17/06/2023
23EAPD002,Letter of Award (Consultant),Capex,20/09/2023
23EAPD002,Letter of Award (Consultant),Actual,20/09/2023
23EAPD002,Detail Design Approval,Baseline,17/01/2024
23EAPD002,Detail Design Approval,Capex,20/04/2024
23EAPD002,CR approval (Contractor),Baseline,17/02/2024
23EAPD002,CR approval (Contractor),Capex,20/05/2024
23EAPD002,Completion of Technical evaluation (Contractor),Baseline,17/07/2024
23EAPD002,Completion of Technical evaluation (Contractor),Capex,20/10/2024
23EAPD002,Letter of Award (Contractor),Baseline,17/08/2024
23EAPD002,Letter of Award (Contractor),Capex,20/11/2024
23EAPD002,Site Handing Over,Baseline,17/12/2024
23EAPD002,Site Handing Over,Capex,20/03/2025
23EAPD002,T&C / Energisation,Baseline,17/06/2027
23EAPD002,T&C / Energisation,Capex,20/09/2027
23EAPD002,Project Completion,Baseline,17/06/2029
23EAPD002,Project Completion,Capex,20/09/2029
23EASIDDI07,Business Need,Baseline,05/10/2022
23EASIDDI07,Business Need,Capex,05/10/2022
23EASIDDI07,Business Need,Actual,05/10/2022
23EASIDDI07,Business Case Approval,Baseline,05/01/2023
23EASIDDI07,Business Case Approval,Capex,05/01/2023
23EASIDDI07,Business Case Approval,Actual,05/01/2023
23EASIDDI07,CR approval (Consultant),Baseline,05/02/2023
23EASIDDI07,CR approval (Consultant),Capex,12/06/2023
23EASIDDI07,CR approval (Consultant),Actual,12/06/2023
23EASIDDI07,Letter of Award (Consultant),Baseline,05/07/2023
23EASIDDI07,Letter of Award (Consultant),Capex,05/12/2023
23EASIDDI07,Detail Design Approval,Baseline,05/02/2024
23EASIDDI07,Detail Design Approval,Capex,05/06/2024
23EASIDDI07,CR approval (Contractor),Baseline,05/04/2024
23EASIDDI07,CR approval (Contractor),Capex,05/08/2024
23EASIDDI07,Completion of Technical evaluation (Contractor),Baseline,05/06/2024
23EASIDDI07,Completion of Technical evaluation (Contractor),Capex,05/10/2024
23EASIDDI07,Letter of Award (Contractor),Baseline,05/07/2024
23EASIDDI07,Letter of Award (Contractor),Capex,05/11/2024
23EASIDDI07,Site Handing Over,Baseline,05/07/2024
23EASIDDI07,Site Handing Over,Capex,05/12/2024
23EASIDDI07,T&C / Energisation,Baseline,05/03/2026
23EASIDDI07,T&C / Energisation,Capex,05/07/2026
23EASIDDI07,Project Completion,Baseline,05/03/2027
23EASIDDI07,Project Completion,Capex,05/07/2027
23EASIDDI09,Business Need,Baseline,21/07/2022
23EASIDDI09,Business Need,Capex,21/07/2022
23EASIDDI09,Business Need,Actual,21/07/2022
23EASIDDI09,Business Case Approval,Baseline,01/03/2023
23EASIDDI09,Business Case Approval,Capex,04/05/2023
23EASIDDI09,Business Case Approval,Actual,04/05/2023
23EASIDDI09,CR approval (Consultant),Baseline,01/04/2023
23EASIDDI09,CR approval (Consultant),Capex,25/05/2023
23EASIDDI09,CR approval (Consultant),Actual,25/05/2023
23EASIDDI09,Letter of Award (Consultant),Baseline,30/06/2023
23EASIDDI09,Letter of Award (Consultant),Capex,06/10/2023
23EASIDDI09,Letter of Award (Consultant),Actual,06/10/2023
23EASIDDI09,Detail Design Approval,Baseline,14/02/2024
23EASIDDI09,Detail Design Approval,Capex,21/05/2024
23EASIDDI09,CR approval (Contractor),Baseline,15/03/2024
23EASIDDI09,CR approval (Contractor),Capex,21/06/2024
23EASIDDI09,Completion of Technical evaluation (Contractor),Baseline,15/05/2024
23EASIDDI09,Completion of Technical evaluation (Contractor),Capex,21/08/2024
23EASIDDI09,Letter of Award (Contractor),Baseline,15/08/2024
23EASIDDI09,Letter of Award (Contractor),Capex,21/11/2024
23EASIDDI09,Site Handing Over,Baseline,15/09/2024
23EASIDDI09,Site Handing Over,Capex,21/12/2024
23EASIDDI09,T&C / Energisation,Baseline,15/03/2026
23EASIDDI09,T&C / Energisation,Capex,21/06/2026
23EASIDDI09,Project Completion,Baseline,15/03/2028
23EASIDDI09,Project Completion,Capex,21/06/2028
23EASIDDI10,Business Need,Baseline,15/02/2023
23EASIDDI10,Business Need,Capex,28/02/2023
23EASIDDI10,Business Need,Actual,28/02/2023
23EASIDDI10,Business Case Approval,Baseline,15/03/2023
23EASIDDI10,Business Case Approval,Capex,30/03/2023
23EASIDDI10,Business Case Approval,Actual,30/03/2023
23EASIDDI10,CR approval (Consultant),Baseline,01/05/2023
23EASIDDI10,CR approval (Consultant),Capex,31/05/2023
23EASIDDI10,CR approval (Consultant),Actual,31/05/2023
23EASIDDI10,Letter of Award (Consultant),Baseline,01/08/2023
23EASIDDI10,Letter of Award (Consultant),Capex,05/12/2023
23EASIDDI10,Detail Design Approval,Baseline,01/07/2024
23EASIDDI10,Detail Design Approval,Capex,05/11/2024
23EASIDDI10,CR approval (Contractor),Baseline,01/08/2024
23EASIDDI10,CR approval (Contractor),Capex,01/09/2024
23EASIDDI10,Completion of Technical evaluation (Contractor),Baseline,01/10/2024
23EASIDDI10,Completion of Technical evaluation (Contractor),Capex,01/11/2024
23EASIDDI10,Letter of Award (Contractor),Baseline,01/12/2024
23EASIDDI10,Letter of Award (Contractor),Capex,01/01/2025
23EASIDDI10,Site Handing Over,Baseline,01/03/2025
23EASIDDI10,Site Handing Over,Capex,01/04/2025
23EASIDDI10,T&C / Energisation,Baseline,01/12/2027
23EASIDDI10,T&C / Energisation,Capex,01/01/2028
23EASIDDI10,Project Completion,Baseline,01/12/2028
23EASIDDI10,Project Completion,Capex,01/01/2029
17WPD004,Business Case Approval,Baseline,14/01/2021
17WPD004,Business Case Approval,Capex,14/01/2021
17WPD004,Business Case Approval,Actual,14/01/2021
17WPD004,CR approval (Consultant),Baseline,15/02/2018
17WPD004,CR approval (Consultant),Capex,15/02/2018
17WPD004,CR approval (Consultant),Actual,15/02/2018
17WPD004,Letter of Award (Consultant),Baseline,19/06/2018
17WPD004,Letter of Award (Consultant),Capex,19/06/2018
17WPD004,Letter of Award (Consultant),Actual,19/06/2018
17WPD004,Detail Design Approval,Baseline,30/03/2022
17WPD004,Detail Design Approval,Capex,21/04/2022
17WPD004,Detail Design Approval,Actual,21/04/2022
17WPD004,CR approval (Contractor),Baseline,30/05/2022
17WPD004,CR approval (Contractor),Capex,30/01/2023
17WPD004,Completion of Technical evaluation (Contractor),Baseline,30/09/2022
17WPD004,Completion of Technical evaluation (Contractor),Capex,15/06/2023
